Scheme Name,Description,Required Documents,Eligible Gender,Age,Annual Income,Educational Qualification,Beneficiary Amount,Central/State,Official Portal Link
Deen Dayal Jan Awas Yojana,Affordable housing scheme for low income group in Haryana.,"Aadhaar Card, Income Certificate",All,18+,"Up to Rs 3,00,000",Not required,Affordable housing plots and units,State (Haryana),https://tcpharyana.gov.in
Punjab Shagun Scheme,Financial assistance for marriage of girls from SC/BPL families in Punjab.,"Aadhaar Card, Caste Certificate, Income Certificate",Female,18+,BPL category,Not required,"Rs 51,000 assistance",State (Punjab),https://sswcd.punjab.gov.in
Ashirwad Scheme Punjab,Financial assistance for marriage of daughters of widows and poor women in Punjab.,"Aadhaar Card, Income Certificate",Female,18+,"Up to Rs 32,790",Not required,"Rs 51,000 assistance",State (Punjab),https://sswcd.punjab.gov.in
Assam Orunodoi Scheme,Direct cash transfer to economically weaker women beneficiaries in Assam.,"Aadhaar Card, Bank Account, Income Certificate",Female,Any age,"Up to Rs 2,00,000",Not required,"Rs 1,250 per month",State (Assam),https://orunodoi.assam.gov.in
Mukhya Mantri Krishi Sahay Yojana,Crop loss compensation scheme for farmers in Gujarat.,"Aadhaar Card, Land Records",All,18+,No limit,Not required,Compensation as per crop loss assessment,State (Gujarat),https://ikhedut.gujarat.gov.in
Vahli Dikri Yojana,Financial assistance scheme for girl child welfare in Gujarat.,"Aadhaar Card, Birth Certificate, Income Certificate",Female,0-18,"Up to Rs 6,00,000",Not required,"Rs 1,10,000 across installments",State (Gujarat),https://wcd.gujarat.gov.in
Mukhyamantri Amrutum Yojana,Health insurance scheme for BPL families in Gujarat.,"Aadhaar Card, BPL Card",All,Any age,BPL category,Not required,"Coverage up to Rs 5,00,000 per family",State (Gujarat),https://magujarat.com
Manav Kalyan Yojana,Financial assistance for self-employment tool kits in Gujarat.,"Aadhaar Card, Income Certificate",All,16-60,"Up to Rs 1,20,000",Not required,Free tool kits for self employment,State (Gujarat),https://e-kutir.gujarat.gov.in
Odisha KALIA Scheme,Financial assistance to farmers and landless agricultural labourers in Odisha.,"Aadhaar Card, Land Records",All,18+,No limit,Not required,"Rs 10,000-12,500 per year",State (Odisha),https://kalia.odisha.gov.in
Biju Swasthya Kalyan Yojana,Health insurance scheme for residents of Odisha.,"Aadhaar Card, Ration Card",All,Any age,No limit,Not required,"Coverage up to Rs 5,00,000 per family",State (Odisha),https://bsky.odisha.gov.in
Mukhyamantri Kanya Vivah Yojana Odisha,Financial assistance for marriage of poor girls in Odisha.,"Aadhaar Card, Income Certificate",Female,18+,BPL category,Not required,"Rs 10,000-25,000 assistance",State (Odisha),https://ssepd.odisha.gov.in
Jharkhand Mukhyamantri Kanyadan Yojana,Financial assistance for marriage of girls from poor families in Jharkhand.,"Aadhaar Card, Income Certificate",Female,18+,"Up to Rs 72,000",Not required,"Rs 30,000 assistance",State (Jharkhand),https://jsly.jharkhand.gov.in
Mukhyamantri Sukanya Yojana Jharkhand,Financial assistance scheme for girl child education in Jharkhand.,"Aadhaar Card, Birth Certificate",Female,0-18,No limit,Enrolled in school,"Rs 40,000 across installments",State (Jharkhand),https://jsly.jharkhand.gov.in
Chhattisgarh Rajiv Gandhi Kisan Nyay Yojana,Input assistance to paddy and other crop farmers in Chhattisgarh.,"Aadhaar Card, Land Records",All,18+,No limit,Not required,Assistance per acre based on crop,State (Chhattisgarh),https://kisan.cg.nic.in
Chhattisgarh Mukhyamantri Kanya Vivah Yojana,Financial assistance for marriage of poor girls in Chhattisgarh.,"Aadhaar Card, Income Certificate",Female,18+,BPL category,Not required,"Rs 20,000 assistance",State (Chhattisgarh),https://socialwelfare.cg.gov.in
Uttarakhand Nandadevi Kanya Yojana,Financial assistance scheme for girl child welfare in Uttarakhand.,"Aadhaar Card, Birth Certificate, Income Certificate",Female,0-18,"Up to Rs 72,000",Not required,"Rs 51,000 maturity amount",State (Uttarakhand),https://wecd.uk.gov.in
Himachal Pradesh Beti Hai Anmol Yojana,Financial assistance scheme for girl child from BPL families in Himachal Pradesh.,"Aadhaar Card, Birth Certificate, BPL Certificate",Female,0-18,BPL category,Not required,"Rs 12,000-15,000 across installments",State (Himachal Pradesh),https://hpwcd.nic.in
Delhi Ladli Yojana,Financial assistance scheme for girl child welfare in Delhi.,"Aadhaar Card, Birth Certificate, Income Certificate",Female,0-18,"Up to Rs 1,00,000",Not required,"Rs 1,00,000 maturity amount",State (Delhi),https://wcd.delhi.gov.in
Delhi Mukhyamantri Tirth Yatra Yojana,Free pilgrimage travel scheme for senior citizens in Delhi.,"Aadhaar Card, Age Proof",All,60+,No limit,Not required,Free pilgrimage travel and accommodation,State (Delhi),https://tirthyatra.delhi.gov.in
Jammu and Kashmir Ladli Beti Scheme,Financial assistance scheme for girl child welfare in Jammu and Kashmir.,"Aadhaar Card, Birth Certificate",Female,0-18,No limit,Not required,"Rs 50,000 maturity amount",State (Jammu and Kashmir),https://jakdirsw.nic.in
Goa Ladli Laxmi Yojana,Financial assistance scheme for girl child welfare in Goa.,"Aadhaar Card, Birth Certificate, Income Certificate",Female,0-18,"Up to Rs 8,00,000",Not required,"Rs 1,00,000 maturity amount",State (Goa),https://goa.gov.in
Manipur Chief Minister's Scholarship Scheme,Scholarship for meritorious students in Manipur.,"Aadhaar Card, Mark Sheet",All,Any age,No limit,Class 10 pass with merit,Scholarship as per merit list,State (Manipur),https://manipur.gov.in
Sikkim Chief Minister's Rural Housing Mission,Housing assistance scheme for rural poor in Sikkim.,"Aadhaar Card, Income Certificate",All,18+,BPL category,Not required,Financial assistance for house construction,State (Sikkim),https://sikkim.gov.in
Tripura Chief Minister Jan Arogya Yojana,Health insurance scheme for residents of Tripura.,"Aadhaar Card, Ration Card",All,Any age,No limit,Not required,"Coverage up to Rs 5,00,000 per family",State (Tripura),https://tripura.gov.in
Meghalaya Chief Minister's Elderly Support Scheme,Monthly pension support for elderly citizens in Meghalaya.,"Aadhaar Card, Age Proof",All,60+,BPL category,Not required,Monthly pension support,State (Meghalaya),https://meghalaya.gov.in
Nagaland Chief Minister's Comprehensive Health Insurance Scheme,Health insurance coverage for residents of Nagaland.,"Aadhaar Card, Ration Card",All,Any age,No limit,Not required,"Coverage up to Rs 5,00,000 per family",State (Nagaland),https://nagaland.gov.in
Mizoram Chief Minister's Rural Housing Scheme,Rural housing assistance scheme in Mizoram.,"Aadhaar Card, Income Certificate",All,18+,BPL category,Not required,Financial assistance for house construction,State (Mizoram),https://mizoram.gov.in
Arunachal Pradesh Chief Minister's Adarsh Gram Yojana,Village development scheme in Arunachal Pradesh.,Village Records,All,Not applicable,Not applicable,Not applicable,Village infrastructure development,State (Arunachal Pradesh),https://arunachalpradesh.gov.in
Punjab Ghar Ghar Rozgar Scheme,Employment and self-employment support scheme in Punjab.,"Aadhaar Card, Educational Certificate",All,18+,No limit,Not required,Employment linkage and training support,State (Punjab),https://pgrkam.com
